가수,제목,참고,key
나루미 모나,"나, 아이돌 선언!",,
아노하나 OST,Secret Base,,
아마자라시,내가 죽으려고 생각한것은,, +1key or  +2key
오오츠카 아이,★ 사쿠란보 ★,,
요네즈 켄시,★ 타상연화 / 쏘아올린 불꽃 ★,,
요루시카,말해줘,,
유이카,좋아하니까,,
이누야샤 OST,시대를 초월한 마음,,
하나땅,꽃의 노래,,
하뉴 마이고,오니가 없는 사이에,,
하츠네 미쿠,꿈과 벚나무,,
하츠네 미쿠,누덕누덕 스타카토,,
하츠네 미쿠,사랑해줘 사랑해줘 사랑해줘,,
하츠네 미쿠,꼭두각시 피에로,,
하츠네 미쿠,니아,,
Aimer (귀멸의칼날 2기 OST),잔향산가,엠알 없어서 당분간 안 부름,
Kanaria,KING,,
Kanaria,백귀제,, +2key
RADWIMPS,전전전세,, +3key
,금요일의 아침인사,,
,내가 그 녀석을 죽였어,,
